device_id,ipei,device_location,location_name
VOCO_K103,0328E329DB,Click and Collect,ST_UKTKM_190_(25/3/4)Charlton
VOCO_K101,0328EA10A5,Jewellery 1 ,ST_UKTKM_190_(25/3/4)Charlton
VOCO_K104,0328E7BC8C,Jewellery 2,ST_UKTKM_190_(25/3/4)Charlton
VOCO_K101,0328E9CC6F,Click and Collect,ST_UKTK_0003(20/03/01)_Bristol Imperial
VOCO_K102,0328E9CC4A,Click and Collect 2,ST_UKTK_0003(20/03/01)_Bristol Imperial
VOCO_K103,0328E9CC8F,Click and Collect,ST_UKTK_0006(15/03/01)_Bishops Stortford_S5
VOCO_K101,0328E9CC8D,Sales Floor 1,ST_UKTK_0006(15/03/01)_Bishops Stortford_S5
VOCO_K103,0328E9CE58,Click and Collect,ST_UKTK_0007(25/03/01)_Eastbourne
VOCO_K102,0328E9CE53,Jewellery 1,ST_UKTK_0007(25/03/01)_Eastbourne
VOCO_K101,0328E9CE66,Sales floor 1,ST_UKTK_0007(25/03/01)_Eastbourne
VOCO_K104,0328EA74F9,sales floor 2,ST_UKTK_0007(25/03/01)_Eastbourne
VOCO_K103,0328E88D4E,Click and Collect,ST_UKTK_0103(60/04/01)_Reading
VOCO_K101,0328E88D49,Fragrance,ST_UKTK_0103(60/04/01)_Reading
VOCO_K102,0328E88D53,Jewellery 1,ST_UKTK_0103(60/04/01)_Reading
VOCO_K103,0328E89381,Click and Collect,ST_UKTK_0106(30/05/01)_Belfast
VOCO_K102,0328E8938A,Fragrance 1,ST_UKTK_0106(30/05/01)_Belfast
VOCO_K105,0328E89391,Jewellery 3,ST_UKTK_0106(30/05/01)_Belfast
VOCO_K104,0328E84148,Handbags 1,ST_UKTK_0111(20/3)_Bournemouth
VOCO_K103,0328E84133,Handbags 2,ST_UKTK_0111(20/3)_Bournemouth
VOCO_K102,0328E40800,Handbags 4,ST_UKTK_0111(20/3)_Bournemouth
VOCO_K106,0328E88D19,Click and Collect 2,ST_UKTK_0129(46/06)_Ealing
VOCO_K101,0328EA7454,Fragrance 1,ST_UKTK_0129(46/06)_Ealing
VOCO_K103,0328EA742A,Fragrance 2,ST_UKTK_0129(46/06)_Ealing
VOCO_K104,0328EA7453,Fragrance 3 ,ST_UKTK_0129(46/06)_Ealing
VOCO_K107,0328E88BF2,Gold Label Handbags 1,ST_UKTK_0129(46/06)_Ealing
VOCO_K108,0328EA752B,Jewellery 1,ST_UKTK_0129(46/06)_Ealing
VOCO_K102,02EB63D37D,Mens Outerwear,ST_UKTK_0129(46/06)_Ealing
VOCO_K105,0328E88BE9,Womens Outerwear,ST_UKTK_0129(46/06)_Ealing
VOCO_K103,0328E7458D,Click collect,ST_UKTK_0142(20/02)_Southport_New
VOCO_K102,0328E9CE52,Fragrance ,ST_UKTK_0142(20/02)_Southport_New
VOCO_K103,0328EA73F0,Click and collect,ST_UKTK_0150(20/01/01)_Bedford
VOCO_K102,0328E9CC5E,Fragrance,ST_UKTK_0150(20/01/01)_Bedford
VOCO_K101,0328D2FAF5,Sales Floor 1,ST_UKTK_0150(20/01/01)_Bedford
VOCO_K103,0328E0F6F6,Click and Collect,ST_UKTK_0152(25/5)_Hackney
VOCO_K101,0328E84201,Fragrance 1,ST_UKTK_0152(25/5)_Hackney
VOCO_K109,0328E843BE,Handbags 3,ST_UKTK_0152(25/5)_Hackney
VOCO_K105,0328E8435D,Handbags 4,ST_UKTK_0152(25/5)_Hackney
VOCO_K106,0328E84134,Handbags 5,ST_UKTK_0152(25/5)_Hackney
VOCO_K107,0328E84147,Handbags 6,ST_UKTK_0152(25/5)_Hackney
VOCO_K108,0328E7B73E,Sales Floor 4,ST_UKTK_0152(25/5)_Hackney
VOCO_K104,0328EA113F,Click and Collect 1,ST_UKTK_0153(25/02/01)Harrow
VOCO_K106,0328E3285E,Click and Collect 2,ST_UKTK_0153(25/02/01)Harrow
VOCO_K102,0328E8407D,Fragrance 1,ST_UKTK_0153(25/02/01)Harrow
VOCO_K107,0328E3275A,Fragrance 2,ST_UKTK_0153(25/02/01)Harrow
VOCO_K101,0328E9CCDF,Jewellery Counter 1,ST_UKTK_0153(25/02/01)Harrow
VOCO_K103,0328EA660F,Click and Collect,ST_UKTK_0161(25/03/01)_Sunderland_S5
VOCO_K102,0328EA663B,Fragrance,ST_UKTK_0161(25/03/01)_Sunderland_S5
VOCO_K101,0328EA659B,Sales Floor 1,ST_UKTK_0161(25/03/01)_Sunderland_S5
VOCO_K103,0328EA12A8,Click & Collect,ST_UKTK_0172(51/06)_Wood Green
VOCO_K106,0328EA13AB,Click & Collect 2,ST_UKTK_0172(51/06)_Wood Green
VOCO_K105,0328E8416C,Fragrance,ST_UKTK_0172(51/06)_Wood Green
VOCO_K102,0328E8406B,Jewellery 1,ST_UKTK_0172(51/06)_Wood Green
VOCO_K104,0328DF05E9,Jewellery 2,ST_UKTK_0172(51/06)_Wood Green
VOCO_K109,0328EA11B8,Mens Outerwear,ST_UKTK_0172(51/06)_Wood Green
VOCO_K101,0328D343F1,Sales Floor 1,ST_UKTK_0172(51/06)_Wood Green
VOCO_K108,0328E8414B,Sales Floor 4,ST_UKTK_0172(51/06)_Wood Green
VOCO_K110,0328EA115B,Womens Outerwear,ST_UKTK_0172(51/06)_Wood Green
VOCO_K105,0328E84140,Fragrance 1,ST_UKTK_0183(40/9)_Thurrock
VOCO_K101,0328E7B819,Handbags 1,ST_UKTK_0183(40/9)_Thurrock
VOCO_K106,0328E406E6,Handbags 2,ST_UKTK_0183(40/9)_Thurrock
VOCO_K111,0328E84135,Handbags 5,ST_UKTK_0183(40/9)_Thurrock
VOCO_K109,0328E8405E,Home Dept,ST_UKTK_0183(40/9)_Thurrock
VOCO_K104,0328E841FC,Jewellery 2,ST_UKTK_0183(40/9)_Thurrock
VOCO_K102,0328E406E7,Mens Gold,ST_UKTK_0183(40/9)_Thurrock
VOCO_K103,0328E9CF32,Click and Collect,ST_UKTK_0184(20/01/03)_Lisburn_New
VOCO_K102,0328E891CF,Jewellery 1,ST_UKTK_0184(20/01/03)_Lisburn_New
VOCO_K101,0328D33826,Sales Floor 1,ST_UKTK_0184(20/01/03)_Lisburn_New
